vehicle_type,Maker,year,quarter,year_quarter,registrations,registrations_last_quarter,QoQ_growth_%
2W,A-1 SUREJA INDUSTRIES,2024,1,2024-Q1,1,,
2W,A-1 SUREJA INDUSTRIES,2024,2,2024-Q2,1,1,0
2W,A-1 SUREJA INDUSTRIES,2024,3,2024-Q3,3,1,200
2W,A-1 SUREJA INDUSTRIES,2024,4,2024-Q4,3,3,0
2W,A-1 SUREJA INDUSTRIES,2025,1,2025-Q1,1,3,66.67
2W,A-1 SUREJA INDUSTRIES,2025,2,2025-Q2,1,1,0
2W,A-1 SUREJA INDUSTRIES,2025,3,2025-Q3,2,1,100
2W,A-1 SUREJA INDUSTRIES,2025,4,2025-Q4,0,2,100
2W,A.R. MOTOR,2025,1,2025-Q1,1,,
2W,A.R. MOTOR,2025,2,2025-Q2,0,1,100
2W,A.R. MOTOR,2025,3,2025-Q3,1,0,
2W,A.R. MOTOR,2025,4,2025-Q4,0,1,100
2W,AADITYA EMOTORS INDIA PVT LTD,2023,1,2023-Q1,0,,
2W,AADITYA EMOTORS INDIA PVT LTD,2023,2,2023-Q2,0,0,
2W,AADITYA EMOTORS INDIA PVT LTD,2023,3,2023-Q3,1,0,
2W,AADITYA EMOTORS INDIA PVT LTD,2023,4,2023-Q4,0,1,100
2W,ABZO MOTORS PVT LTD,2023,1,2023-Q1,0,,
2W,ABZO MOTORS PVT LTD,2023,2,2023-Q2,1,0,
2W,ABZO MOTORS PVT LTD,2023,3,2023-Q3,3,1,200
2W,ABZO MOTORS PVT LTD,2023,4,2023-Q4,8,3,166.67
2W,ABZO MOTORS PVT LTD,2024,1,2024-Q1,14,8,75
2W,ABZO MOTORS PVT LTD,2024,2,2024-Q2,30,14,114.29
2W,ABZO MOTORS PVT LTD,2024,3,2024-Q3,11,30,63.33
2W,ABZO MOTORS PVT LTD,2024,4,2024-Q4,13,11,18.18
2W,ABZO MOTORS PVT LTD,2025,1,2025-Q1,7,13,46.15
2W,ABZO MOTORS PVT LTD,2025,2,2025-Q2,3,7,57.14
2W,ABZO MOTORS PVT LTD,2025,3,2025-Q3,10,3,233.33
2W,ABZO MOTORS PVT LTD,2025,4,2025-Q4,0,10,100
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2023,1,2023-Q1,142,,
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2023,2,2023-Q2,68,142,52.11
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2023,3,2023-Q3,96,68,41.18
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2023,4,2023-Q4,77,96,19.79
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2024,1,2024-Q1,73,77,5.19
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2024,2,2024-Q2,57,73,21.92
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2024,3,2024-Q3,60,57,5.26
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2024,4,2024-Q4,56,60,6.67
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2025,1,2025-Q1,36,56,35.71
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2025,2,2025-Q2,39,36,8.33
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2025,3,2025-Q3,127,39,225.64
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2025,4,2025-Q4,0,127,100
2W,ADISHWAR AUTO RIDE INDIA PVT.LTD,2023,1,2023-Q1,1,,
2W,ADISHWAR AUTO RIDE INDIA PVT.LTD,2023,2,2023-Q2,0,1,100
2W,ADISHWAR AUTO RIDE INDIA PVT.LTD,2023,3,2023-Q3,0,0,
2W,ADISHWAR AUTO RIDE INDIA PVT.LTD,2023,4,2023-Q4,0,0,
2W,ADRIS ELECTRIC PVT LTD,2023,1,2023-Q1,51,,
2W,ADRIS ELECTRIC PVT LTD,2023,2,2023-Q2,7,51,86.27
2W,ADRIS ELECTRIC PVT LTD,2023,3,2023-Q3,1,7,85.71
2W,ADRIS ELECTRIC PVT LTD,2023,4,2023-Q4,2,1,100
2W,ADRIS ELECTRIC PVT LTD,2024,1,2024-Q1,6,2,200
2W,ADRIS ELECTRIC PVT LTD,2024,2,2024-Q2,1,6,83.33
2W,ADRIS ELECTRIC PVT LTD,2024,3,2024-Q3,1,1,0
2W,ADRIS ELECTRIC PVT LTD,2024,4,2024-Q4,0,1,100
2W,ADRIS ELECTRIC PVT LTD,2025,1,2025-Q1,0,0,
2W,ADRIS ELECTRIC PVT LTD,2025,2,2025-Q2,0,0,
2W,ADRIS ELECTRIC PVT LTD,2025,3,2025-Q3,2,0,
2W,ADRIS ELECTRIC PVT LTD,2025,4,2025-Q4,0,2,100
2W,AFTEK MOTORS INDIA PVT LTD,2023,1,2023-Q1,60,,
2W,AFTEK MOTORS INDIA PVT LTD,2023,2,2023-Q2,30,60,50
2W,AFTEK MOTORS INDIA PVT LTD,2023,3,2023-Q3,27,30,10
2W,AFTEK MOTORS INDIA PVT LTD,2023,4,2023-Q4,21,27,22.22
2W,AFTEK MOTORS INDIA PVT LTD,2024,1,2024-Q1,13,21,38.1
2W,AFTEK MOTORS INDIA PVT LTD,2024,2,2024-Q2,18,13,38.46
2W,AFTEK MOTORS INDIA PVT LTD,2024,3,2024-Q3,5,18,72.22
2W,AFTEK MOTORS INDIA PVT LTD,2024,4,2024-Q4,3,5,40
2W,AFTEK MOTORS INDIA PVT LTD,2025,1,2025-Q1,4,3,33.33
2W,AFTEK MOTORS INDIA PVT LTD,2025,2,2025-Q2,0,4,100
2W,AFTEK MOTORS INDIA PVT LTD,2025,3,2025-Q3,6,0,
2W,AFTEK MOTORS INDIA PVT LTD,2025,4,2025-Q4,0,6,100
2W,AJS MOTORCYCLES LTD,2023,1,2023-Q1,1,,
2W,AJS MOTORCYCLES LTD,2023,2,2023-Q2,0,1,100
2W,AJS MOTORCYCLES LTD,2023,3,2023-Q3,0,0,
2W,AJS MOTORCYCLES LTD,2023,4,2023-Q4,0,0,
2W,ALTIUS EV TECH PVT LTD,2023,1,2023-Q1,22,,
2W,ALTIUS EV TECH PVT LTD,2023,2,2023-Q2,9,22,59.09
2W,ALTIUS EV TECH PVT LTD,2023,3,2023-Q3,5,9,44.44
2W,ALTIUS EV TECH PVT LTD,2023,4,2023-Q4,1,5,80
2W,ALTIUS EV TECH PVT LTD,2024,1,2024-Q1,7,1,600
2W,ALTIUS EV TECH PVT LTD,2024,2,2024-Q2,4,7,42.86
2W,ALTIUS EV TECH PVT LTD,2024,3,2024-Q3,5,4,25
2W,ALTIUS EV TECH PVT LTD,2024,4,2024-Q4,3,5,40
2W,ALTIUS EV TECH PVT LTD,2025,1,2025-Q1,3,3,0
2W,ALTIUS EV TECH PVT LTD,2025,2,2025-Q2,0,3,100
2W,ALTIUS EV TECH PVT LTD,2025,3,2025-Q3,3,0,
2W,ALTIUS EV TECH PVT LTD,2025,4,2025-Q4,0,3,100
2W,AMO MOBILITY SOLUTIONS PVT LTD,2023,1,2023-Q1,816,,
2W,AMO MOBILITY SOLUTIONS PVT LTD,2023,2,2023-Q2,524,816,35.78
2W,AMO MOBILITY SOLUTIONS PVT LTD,2023,3,2023-Q3,198,524,62.21
2W,AMO MOBILITY SOLUTIONS PVT LTD,2023,4,2023-Q4,36,198,81.82
2W,AMO MOBILITY SOLUTIONS PVT LTD,2024,1,2024-Q1,46,36,27.78
2W,AMO MOBILITY SOLUTIONS PVT LTD,2024,2,2024-Q2,21,46,54.35
2W,AMO MOBILITY SOLUTIONS PVT LTD,2024,3,2024-Q3,35,21,66.67
2W,AMO MOBILITY SOLUTIONS PVT LTD,2024,4,2024-Q4,20,35,42.86
2W,AMO MOBILITY SOLUTIONS PVT LTD,2025,1,2025-Q1,10,20,50
2W,AMO MOBILITY SOLUTIONS PVT LTD,2025,2,2025-Q2,15,10,50
2W,AMO MOBILITY SOLUTIONS PVT LTD,2025,3,2025-Q3,25,15,66.67
2W,AMO MOBILITY SOLUTIONS PVT LTD,2025,4,2025-Q4,0,25,100
2W,AMPERE VEHICLES PRIVATE LIMITED,2023,1,2023-Q1,0,,
2W,AMPERE VEHICLES PRIVATE LIMITED,2023,2,2023-Q2,0,0,
2W,AMPERE VEHICLES PRIVATE LIMITED,2023,3,2023-Q3,1359,0,
2W,AMPERE VEHICLES PRIVATE LIMITED,2023,4,2023-Q4,1011,1359,25.61
2W,AMPERE VEHICLES PRIVATE LIMITED,2024,1,2024-Q1,439,1011,56.58
2W,AMPERE VEHICLES PRIVATE LIMITED,2024,2,2024-Q2,366,439,16.63
2W,AMPERE VEHICLES PRIVATE LIMITED,2024,3,2024-Q3,194,366,46.99
2W,AMPERE VEHICLES PRIVATE LIMITED,2024,4,2024-Q4,90,194,53.61
2W,AMPERE VEHICLES PRIVATE LIMITED,2025,1,2025-Q1,73,90,18.89
2W,AMPERE VEHICLES PRIVATE LIMITED,2025,2,2025-Q2,48,73,34.25
2W,AMPERE VEHICLES PRIVATE LIMITED,2025,3,2025-Q3,143,48,197.92
2W,AMPERE VEHICLES PRIVATE LIMITED,2025,4,2025-Q4,0,143,100
2W,AMPERE VEHICLES PVT LTD,2023,1,2023-Q1,8,,
2W,AMPERE VEHICLES PVT LTD,2023,2,2023-Q2,0,8,100
2W,AMPERE VEHICLES PVT LTD,2023,3,2023-Q3,0,0,
