sl_no,manufacturer,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,total,vehicle_type,year
1,AADITYA EMOTORS INDIA PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2W,2023
2,ABZO MOTORS PVT LTD,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,1.0,12.0,2W,2023
3,ADISHWAR AUTO RIDE INDIA PVT.LTD,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2023
4,ADISHWAR AUTO RIDE INDIA PVT LTD,46.0,42.0,54.0,20.0,27.0,21.0,24.0,43.0,29.0,26.0,28.0,23.0,383.0,2W,2023
5,ADRIS ELECTRIC PVT LTD,40.0,7.0,4.0,5.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,61.0,2W,2023
6,AFTEK MOTORS INDIA PVT LTD,23.0,20.0,17.0,6.0,14.0,10.0,12.0,8.0,7.0,11.0,6.0,4.0,138.0,2W,2023
7,AJS MOTORCYCLES LTD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2023
8,ALTIUS EV TECH PVT LTD,7.0,5.0,10.0,4.0,0.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,37.0,2W,2023
9,AMO MOBILITY SOLUTIONS PVT LTD,312.0,246.0,258.0,133.0,280.0,111.0,59.0,113.0,26.0,14.0,10.0,12.0,0.0,2W,2023
10,AMPERE VEHICLES PRIVATE LIMITED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,773.0,586.0,358.0,281.0,372.0,0.0,2W,2023
11,AMPERE VEHICLES PVT LTD,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2W,2023
12,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1.0,4.0,4.0,1.0,1.0,3.0,1.0,7.0,4.0,12.0,6.0,7.0,51.0,2W,2023
13,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,8.0,2W,2023
14,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,0.0,2.0,1.0,13.0,2W,2023
15,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2W,2023
16,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,15.0,15.0,8.0,8.0,61.0,2W,2023
17,ANVITA AUTO TECH WORKS PVT LTD,2.0,5.0,2.0,2.0,6.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,26.0,2W,2023
18,ATHER ENERGY LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2W,2023
19,ATOMEX E-MOTORS INDIA PVT LTD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2W,2023
20,ATUMOBILE PVT LTD,0.0,3.0,24.0,6.0,15.0,13.0,7.0,7.0,5.0,5.0,7.0,13.0,105.0,2W,2023
21,AYAAN ELECTRONIC PVT LTD,8.0,19.0,10.0,9.0,10.0,11.0,8.0,9.0,8.0,8.0,6.0,6.0,112.0,2W,2023
22,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2W,2023
23,BAJAJ AUTO LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2W,2023
24,BATTRE ELECTRIC MOBLITY PVT LTD,170.0,129.0,81.0,652.0,0.0,83.0,135.0,291.0,257.0,230.0,668.0,244.0,0.0,2W,2023
25,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,571.0,337.0,446.0,340.0,269.0,253.0,195.0,143.0,167.0,104.0,101.0,79.0,0.0,2W,2023
26,BGAUSS AUTO PRIVATE LIMITED,716.0,667.0,781.0,771.0,0.0,191.0,661.0,923.0,935.0,0.0,0.0,0.0,0.0,2W,2023
27,BLIX CYCLES AND E-VEHICLES PVT LTD,10.0,8.0,13.0,6.0,4.0,3.0,1.0,7.0,5.0,0.0,5.0,3.0,65.0,2W,2023
28,BMW INDIA PVT LTD,482.0,701.0,828.0,617.0,739.0,686.0,609.0,670.0,700.0,652.0,631.0,461.0,0.0,2W,2023
29,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,2.0,3.0,7.0,3.0,4.0,3.0,75.0,14.0,29.0,9.0,33.0,25.0,207.0,2W,2023
30,BOUNCE ELECTRIC 1 PVT LTD,520.0,416.0,363.0,324.0,720.0,164.0,198.0,132.0,153.0,104.0,246.0,225.0,0.0,2W,2023
31,BSA MOTORS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2W,2023
32,CHANDANA CORPORATION,42.0,61.0,63.0,46.0,46.0,36.0,59.0,41.0,29.0,17.0,31.0,30.0,501.0,2W,2023
33,CHETAK TECHNOLOGY LIMITED,627.0,0.0,0.0,373.0,98.0,3.0,3.0,8.0,0.0,0.0,74.0,0.0,0.0,2W,2023
34,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),0.0,0.0,0.0,3.0,9.0,9.0,30.0,14.0,39.0,6.0,10.0,15.0,135.0,2W,2023
35,CLASSIC LEGENDS PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2W,2023
36,DAO EVTECH PRIVATE LIMITED,17.0,18.0,37.0,21.0,11.0,39.0,28.0,25.0,30.0,14.0,28.0,15.0,283.0,2W,2023
37,DONGMA VEHICLE (IMPORTER: MERCURY METALS),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,11.0,2W,2023
38,DUCATI INDIA PVT LTD,32.0,28.0,28.0,25.0,31.0,32.0,26.0,29.0,28.0,30.0,31.0,39.0,359.0,2W,2023
39,DUCATI MOTOR HOLDING S.P.A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2W,2023
40,DURGA FILTERS PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2W,2023
41,ECO FUEL SYSTEMS (I) PVT LTD,52.0,38.0,59.0,42.0,38.0,36.0,48.0,79.0,71.0,33.0,58.0,41.0,595.0,2W,2023
42,ELECTRECA VEHICLES,9.0,10.0,15.0,8.0,7.0,7.0,6.0,4.0,4.0,1.0,1.0,1.0,73.0,2W,2023
43,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0.0,0.0,2.0,4.0,1.0,10.0,8.0,5.0,6.0,2.0,4.0,1.0,43.0,2W,2023
44,ELTHOR ENERGY PRIVATE LIMITED,44.0,26.0,32.0,18.0,22.0,20.0,13.0,17.0,6.0,14.0,10.0,8.0,230.0,2W,2023
45,ENGTIAN ELECTRIC BIKE PVT LTD,48.0,47.0,22.0,30.0,35.0,34.0,39.0,83.0,16.0,18.0,44.0,56.0,472.0,2W,2023
46,ENIGMA AUTOMOBILES PVT LTD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2W,2023
47,E ROYCE MOTORS INDIA PVT LTD,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,5.0,2W,2023
