vehicle_type,Maker,date,year,month,registrations,registrations_last_year,YoY_growth_%,quarter,year_quarter,year_quarter_quarterly,registrations_last_quarter,QoQ_growth_%
2W,AADITYA EMOTORS INDIA PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ABZO MOTORS PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ADISHWAR AUTO RIDE INDIA PVT LTD,2023-01-01 00:00:00,2023,1,46,,,1,2023-Q1,2023-Q1,,
2W,ADISHWAR AUTO RIDE INDIA PVT.LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ADRIS ELECTRIC PVT LTD,2023-01-01 00:00:00,2023,1,40,,,1,2023-Q1,2023-Q1,,
2W,AFTEK MOTORS INDIA PVT LTD,2023-01-01 00:00:00,2023,1,23,,,1,2023-Q1,2023-Q1,,
2W,AJS MOTORCYCLES LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ALTIUS EV TECH PVT LTD,2023-01-01 00:00:00,2023,1,7,,,1,2023-Q1,2023-Q1,,
2W,AMO MOBILITY SOLUTIONS PVT LTD,2023-01-01 00:00:00,2023,1,312,,,1,2023-Q1,2023-Q1,,
2W,AMPERE VEHICLES PRIVATE LIMITED,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,AMPERE VEHICLES PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,2023-01-01 00:00:00,2023,1,1,,,1,2023-Q1,2023-Q1,,
2W,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ANVITA AUTO TECH WORKS PVT LTD,2023-01-01 00:00:00,2023,1,2,,,1,2023-Q1,2023-Q1,,
2W,ATHER ENERGY LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,ATOMEX E-MOTORS INDIA PVT LTD,2023-01-01 00:00:00,2023,1,1,,,1,2023-Q1,2023-Q1,,
2W,ATUMOBILE PVT LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,AYAAN ELECTRONIC PVT LTD,2023-01-01 00:00:00,2023,1,8,,,1,2023-Q1,2023-Q1,,
2W,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,BAJAJ AUTO LTD,2023-01-01 00:00:00,2023,1,0,,,1,2023-Q1,2023-Q1,,
2W,BATTRE ELECTRIC MOBLITY PVT LTD,2023-01-01 00:00:00,2023,1,170,,,1,2023-Q1,2023-Q1,,
2W,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,2023-01-01 00:00:00,2023,1,571,,,1,2023-Q1,2023-Q1,,
2W,BGAUSS AUTO PRIVATE LIMITED,2023-01-01 00:00:00,2023,1,716,,,1,2023-Q1,2023-Q1,,
2W,BLIX CYCLES AND E-VEHICLES PVT LTD,2023-01-01 00:00:00,2023,1,10,,,1,2023-Q1,2023-Q1,,
2W,BMW INDIA PVT LTD,2023-01-01 00:00:00,2023,1,482,,,1,2023-Q1,2023-Q1,,
2W,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,2023-01-01 00:00:00,2023,1,2,,,1,2023-Q1,2023-Q1,,
2W,BOUNCE ELECTRIC 1 PVT LTD,2023-01-01 00:00:00,2023,1,520,,,1,2023-Q1,2023-Q1,,
2W,BSA MOTORS,2023-01-01 00:00:00,2023,1,1,,,1,2023-Q1,2023-Q1,,
2W,CHANDANA CORPORATION,2023-01-01 00:00:00,2023,1,42,,,1,2023-Q1,2023-Q1,,
