sl.no,Maker,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,     TOTAL     ,vehicle_type,year
,,,,,,,,,,,,,,,,
1,AADITYA EMOTORS INDIA PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0,1,2W,2023
2,ABZO MOTORS PVT LTD,0,0,0,0,1,0,0,0,3,5,2,1,12,2W,2023
3,ADISHWAR AUTO RIDE INDIA PVT.LTD,0,0,1,0,0,0,0,0,0,0,0,0,1,2W,2023
4,ADISHWAR AUTO RIDE INDIA PVT LTD,46,42,54,20,27,21,24,43,29,26,28,23,383,2W,2023
5,ADRIS ELECTRIC PVT LTD,40,7,4,5,0,2,0,0,1,1,1,0,61,2W,2023
6,AFTEK MOTORS INDIA PVT LTD,23,20,17,6,14,10,12,8,7,11,6,4,138,2W,2023
7,AJS MOTORCYCLES LTD,0,1,0,0,0,0,0,0,0,0,0,0,1,2W,2023
8,ALTIUS EV TECH PVT LTD,7,5,10,4,0,5,5,0,0,1,0,0,37,2W,2023
9,AMO MOBILITY SOLUTIONS PVT LTD,312,246,258,133,280,111,59,113,26,14,10,12,"1,574",2W,2023
10,AMPERE VEHICLES PRIVATE LIMITED,"4,370","5,850","9,349","8,324","9,636","1,603","1,414",773,586,358,281,372,"42,916",2W,2023
11,AMPERE VEHICLES PVT LTD,0,0,8,0,0,0,0,0,0,0,0,0,8,2W,2023
12,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,1,4,4,1,1,3,1,7,4,12,6,7,51,2W,2023
13,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),0,0,0,0,0,0,2,2,1,1,1,1,8,2W,2023
14,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),0,0,0,0,0,1,2,0,7,0,2,1,13,2W,2023
15,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),0,0,0,0,0,0,0,0,0,0,1,0,1,2W,2023
16,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),0,0,0,0,0,0,1,14,15,15,8,8,61,2W,2023
17,ANVITA AUTO TECH WORKS PVT LTD,2,5,2,2,6,3,1,1,3,0,0,1,26,2W,2023
18,ATHER ENERGY LTD,"9,226","10,071","12,184","7,802","15,434","4,603","6,685","7,157","7,195","8,486","9,343","6,553","1,04,739",2W,2023
19,ATOMEX E-MOTORS INDIA PVT LTD,1,0,0,0,0,0,0,0,0,0,0,0,1,2W,2023
20,ATUMOBILE PVT LTD,0,3,24,6,15,13,7,7,5,5,7,13,105,2W,2023
21,AYAAN ELECTRONIC PVT LTD,8,19,10,9,10,11,8,9,8,8,6,6,112,2W,2023
22,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),0,0,0,0,0,0,0,0,0,0,3,1,4,2W,2023
23,BAJAJ AUTO LTD,"1,38,288","1,38,736","1,61,988","1,46,167","1,86,479","1,63,539","1,46,640","1,48,513","1,49,635","1,79,318","2,75,045","1,82,445","20,16,793",2W,2023
24,BATTRE ELECTRIC MOBLITY PVT LTD,170,129,81,652,"1,199",83,135,291,257,230,668,244,"4,139",2W,2023
25,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,571,337,446,340,269,253,195,143,167,104,101,79,"3,005",2W,2023
26,BGAUSS AUTO PRIVATE LIMITED,716,667,781,771,"1,814",191,661,923,935,"1,171","1,609","1,215","11,454",2W,2023
27,BLIX CYCLES AND E-VEHICLES PVT LTD,10,8,13,6,4,3,1,7,5,0,5,3,65,2W,2023
28,BMW INDIA PVT LTD,482,701,828,617,739,686,609,670,700,652,631,461,"7,776",2W,2023
29,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,2,3,7,3,4,3,75,14,29,9,33,25,207,2W,2023
30,BOUNCE ELECTRIC 1 PVT LTD,520,416,363,324,720,164,198,132,153,104,246,225,"3,565",2W,2023
31,BSA MOTORS,1,0,0,0,0,0,0,0,0,1,0,0,2,2W,2023
32,CHANDANA CORPORATION,42,61,63,46,46,36,59,41,29,17,31,30,501,2W,2023
33,CHETAK TECHNOLOGY LIMITED,627,"1,319","2,346",373,98,3,3,8,0,0,74,0,"4,851",2W,2023
34,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),0,0,0,3,9,9,30,14,39,6,10,15,135,2W,2023
35,CLASSIC LEGENDS PVT LTD,"3,643","3,214","3,325","2,311","2,372","2,620","2,188","2,370","2,483","2,776","3,317","2,526","33,145",2W,2023
36,DAO EVTECH PRIVATE LIMITED,17,18,37,21,11,39,28,25,30,14,28,15,283,2W,2023
37,DONGMA VEHICLE (IMPORTER: MERCURY METALS),0,0,0,0,0,0,0,0,0,0,4,7,11,2W,2023
38,DUCATI INDIA PVT LTD,32,28,28,25,31,32,26,29,28,30,31,39,359,2W,2023
39,DUCATI MOTOR HOLDING S.P.A,0,0,0,0,0,0,0,0,0,0,0,1,1,2W,2023
40,DURGA FILTERS PVT LTD,0,0,0,0,0,0,0,0,0,0,1,1,2,2W,2023
41,ECO FUEL SYSTEMS (I) PVT LTD,52,38,59,42,38,36,48,79,71,33,58,41,595,2W,2023
42,ELECTRECA VEHICLES,9,10,15,8,7,7,6,4,4,1,1,1,73,2W,2023
43,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),0,0,2,4,1,10,8,5,6,2,4,1,43,2W,2023
44,ELTHOR ENERGY PRIVATE LIMITED,44,26,32,18,22,20,13,17,6,14,10,8,230,2W,2023
45,ENGTIAN ELECTRIC BIKE PVT LTD,48,47,22,30,35,34,39,83,16,18,44,56,472,2W,2023
46,ENIGMA AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,1,0,1,2,2W,2023
47,E ROYCE MOTORS INDIA PVT LTD,0,0,0,0,1,0,1,0,0,1,0,2,5,2W,2023
48,ESCORTS R&D CENTRE,0,0,0,0,0,1,0,0,1,1,0,1,4,2W,2023
49,E-SPRINTO GREEN ENERGY PVT LTD,0,0,0,0,3,11,3,25,33,14,15,12,116,2W,2023
50,EVTRIC MOTORS PVT LTD,50,46,49,50,70,50,62,49,41,29,28,16,540,2W,2023
51,EXERVAL PVT LTD,6,11,9,8,12,4,5,16,3,2,2,5,83,2W,2023
52,FIADO INDUSTRIES PVT LTD,4,3,11,4,24,26,13,9,4,3,3,2,106,2W,2023
53,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),0,0,0,0,0,0,4,3,7,12,17,14,57,2W,2023
54,FUJIYAMA POWER INFRA PVT. LTD.,0,0,0,0,3,0,3,7,1,0,2,0,16,2W,2023
55,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,0,3,34,43,48,128,2W,2023
56,GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),0,0,0,0,71,0,0,0,0,0,0,0,71,2W,2023
57,GOGORO INDIA PVT LTD,0,0,0,0,0,0,0,0,0,0,18,0,18,2W,2023
58,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,0,1,0,0,0,0,0,9,1,0,0,0,11,2W,2023
59,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),0,0,0,0,0,0,1,0,0,0,0,0,1,2W,2023
60,GOREEN E-MOBILITY PVT LTD,298,337,323,245,278,317,232,244,236,180,243,107,"3,040",2W,2023
61,GREAVES ELECTRIC MOBILITY PVT LTD,87,153,382,551,"1,155","1,440","2,159","2,926","3,613","4,184","4,415","2,977","24,042",2W,2023
62,GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),4,4,1,3,7,6,7,3,8,6,9,8,66,2W,2023
63,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),22,27,22,18,16,17,14,18,21,10,17,25,227,2W,2023
64,HAYASA E-MOBILITY (INDIA) PVT LTD,0,0,0,0,0,0,3,0,0,0,0,1,4,2W,2023
65,H-D MOTOR COMPANY INDIA PVT LTD,0,1,0,0,0,2,0,0,0,0,0,1,4,2W,2023
66,HERO ELECTRIC VEHICLES PVT. LTD,"6,400","5,865","6,669","3,333","2,110","1,137",779,783,845,666,826,552,"29,965",2W,2023
67,HERO HONDA MOTORS  LTD,3,2,5,0,3,0,0,1,1,1,4,2,22,2W,2023
68,HERO MOTOCORP LTD,"3,71,651","3,91,987","4,69,813","4,11,847","5,32,078","4,28,181","3,63,432","3,50,475","3,54,545","4,21,327","8,04,901","4,65,111","53,65,348",2W,2023
69,HOMFEEL VEGH AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,2,2,2,6,2W,2023
70,HONDA CARS INDIA LTD,0,0,0,0,0,0,0,1,0,0,0,0,1,2W,2023
71,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"3,18,934","3,02,960","3,24,942","2,44,820","2,70,443","2,83,518","2,99,899","3,11,116","3,49,911","4,03,691","5,15,210","3,45,230","39,70,674",2W,2023
72,HONGKONG YIXING (IMPORTER: ADMS MARKETING),4,3,4,2,4,7,6,7,12,12,12,11,84,2W,2023
73,HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),0,0,4,1,3,0,0,6,0,0,0,4,18,2W,2023
74,HOP ELECTRIC MOBILITY PVT LTD,11,9,19,62,13,12,11,15,7,19,11,20,209,2W,2023
75,HOUSTAN INNOVATION LLP,0,3,1,5,4,3,1,4,8,0,1,2,32,2W,2023
76,HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),0,0,0,1,0,0,0,0,0,1,0,0,2,2W,2023
77,IDEAL JAWA INDIA PVT LTD,0,0,0,0,0,0,0,0,0,1,0,0,1,2W,2023
78,INDIA KAWASAKI MOTORS PVT LTD,324,287,332,279,328,243,276,250,323,309,303,223,"3,477",2W,2023
79,INDIA YAMAHA MOTOR PVT LTD,"47,456","42,812","47,129","38,192","44,537","46,912","45,861","49,938","49,643","55,504","64,130","48,348","5,80,462",2W,2023
80,IRA EDUTECH PVT LTD,1,2,9,2,0,2,0,1,1,0,1,0,19,2W,2023
81,IVOOMI INNOVATION PVT LTD,149,141,194,227,230,188,227,164,144,148,232,109,"2,153",2W,2023
82,IZANAU ELECTRIC LLP,1,1,4,9,4,7,9,3,3,2,6,2,51,2W,2023
83,JIANGSU AIMA (IMPORTER: FUTURE EV),0,0,0,0,0,0,0,0,0,2,5,1,8,2W,2023
84,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),29,29,30,64,53,66,82,48,18,11,13,11,454,2W,2023
85,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),0,0,3,2,0,0,2,2,0,0,1,1,11,2W,2023
86,JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),0,0,0,0,0,0,0,4,1,6,9,0,20,2W,2023
87,JIANGSU DALONG (IMPORTER: RILOX EV PVT LTD),0,0,0,0,2,0,0,0,0,0,0,0,2,2W,2023
88,JIANGSU DALONG (IMPORTER: SABOO TOR),0,0,0,0,0,0,4,1,8,3,6,0,22,2W,2023
89,JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),0,0,6,7,3,2,4,8,7,3,7,3,50,2W,2023
90,JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),0,0,0,0,0,0,0,1,0,0,0,0,1,2W,2023
91,JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),0,0,1,2,8,4,3,2,7,0,1,3,31,2W,2023
92,JIANGSU SUNHOU (IMPORTER: SABOO TOR),1,1,1,1,0,0,0,2,1,1,1,1,10,2W,2023
93,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),9,7,13,7,8,10,9,4,7,1,1,9,85,2W,2023
94,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),0,0,0,0,0,0,1,0,0,0,2,0,3,2W,2023
95,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),145,59,102,78,81,39,77,64,32,57,34,31,799,2W,2023
96,JITENDRA NEW EV-TECH PVT. LTD,522,308,350,264,481,41,18,24,166,150,155,138,"2,617",2W,2023
97,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),5,7,11,2,2,4,5,8,1,0,1,6,52,2W,2023
98,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),8,15,13,7,13,15,14,12,18,36,39,22,212,2W,2023
99,JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),0,0,3,1,0,0,1,2,2,4,4,5,22,2W,2023
100,KABIRA MOBILITY LLP,23,37,19,24,12,14,9,7,5,5,4,6,165,2W,2023
101,KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),0,0,0,0,0,0,0,0,0,0,0,7,7,2W,2023
102,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),0,0,4,2,4,1,0,4,4,6,21,5,51,2W,2023
103,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),0,0,0,0,0,0,0,0,0,0,8,3,11,2W,2023
104,KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),0,0,0,1,1,0,0,0,2,1,0,0,5,2W,2023
105,KAWASAKI HEAVY INDUSTRIES LTD,0,0,0,1,0,0,0,0,0,0,0,0,1,2W,2023
106,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,"1,028",817,"1,646",849,897,203,232,385,234,395,427,668,"7,781",2W,2023
107,KINETIC MOTOR COMPANY LIMITED,0,0,0,0,0,0,0,0,0,1,0,0,1,2W,2023
108,KLB KOMAKI PVT LTD,308,337,402,346,361,362,364,421,351,303,325,293,"4,173",2W,2023
109,KTM MOTORRAD AG,0,0,1,0,0,0,0,0,0,0,1,0,2,2W,2023
110,KYTE ENERGY PVT. LTD.,19,25,20,53,21,18,12,50,89,27,79,127,540,2W,2023
